instrument_name,option_type,spot_price,strike,days_to_expiry,entry_price_usd,quantity,capital_at_risk,model_price_usd,price_diff_pct,implied_volatility,historical_volatility,volatility_spread,combined_score,classification,risk_reason
ETH-22MAY26-2600-C,call,2317.8,2600.0,12.95317331835648,12.747900000000001,7.844429278547838,100.0,27.205866251979785,-0.5314282632308269,0.5083,0.6375365835831345,-0.1292365835831345,0.6606648468139614,cheap,Trade approved under risk rules.
ETH-22MAY26-2500-C,call,2317.8,2500.0,12.953179289687501,25.495800000000003,3.88299249288118,99.0,47.2529511028614,-0.46044004861198806,0.4907,0.6375365835831345,-0.14683658358313445,0.6072766321951225,cheap,Trade approved under risk rules.
ETH-22MAY26-2150-P,put,2317.82,2150.0,12.953219212638889,24.337110000000003,4.027183178282056,98.01000000000002,42.44668669659211,-0.4266428808928933,0.4929,0.6375365835831345,-0.14463658358313447,0.5712794644760277,cheap,Trade approved under risk rules.
ETH-22MAY26-2450-C,call,2317.8,2450.0,12.953185451828704,35.9259,2.700834217096858,97.0299,61.049878853359814,-0.41153200178671845,0.4829,0.6375365835831345,-0.15463658358313448,0.5661685853698529,cheap,Trade approved under risk rules.
ETH-22MAY26-2100-P,put,2317.78,2100.0,12.953225312048612,16.803905,5.716504645795129,96.059601,29.965151303665323,-0.439218416429469,0.5109,0.6375365835831345,-0.12663658358313445,0.5658550000126035,cheap,Trade approved under risk rules.
ETH-29MAY26-2550-C,call,2318.89,2550.0,19.953106371886573,33.62390499999999,2.828315300974114,95.09900499,58.76156091019607,-0.427790812919578,0.5029,0.6375365835831345,-0.13463658358313446,0.5624273965027125,cheap,Trade approved under risk rules.
ETH-22MAY26-2200-P,put,2317.8,2200.0,12.953213172766205,35.9259,2.620616740014864,94.1480149401,58.19763706846004,-0.38269143199509925,0.4826,0.6375365835831345,-0.1549365835831345,0.5376280155782338,cheap,Trade approved under risk rules.
ETH-29MAY26-2500-C,call,2318.89,2500.0,19.953112484560187,44.05891,2.115497972843609,93.20653479069901,71.94115063919662,-0.3875701235171124,0.4996,0.6375365835831345,-0.1379365835831345,0.5255067071002468,cheap,Trade approved under risk rules.
ETH-22MAY26-2400-C,call,2317.8,2400.0,12.953191925833334,50.41215,1.830401390196451,92.27446944279201,77.81484761969864,-0.35215255774351367,0.47979999999999995,0.6375365835831345,-0.15773658358313453,0.5098891413266482,cheap,Trade approved under risk rules.
ETH-29MAY26-2450-C,call,2318.89,2450.0,19.953118554074074,56.812805,1.6079425183876082,91.35172474836409,87.39679156042519,-0.3499440427315888,0.49689999999999995,0.6375365835831345,-0.14063658358313452,0.4905806263147233,cheap,Trade approved under risk rules.
