opened_at,instrument_name,option_type,spot_price,strike,days_to_expiry,entry_price_usd,quantity,capital_at_risk,model_price_usd,price_diff_pct,implied_volatility,implied_volatility_model,implied_volatility_feed,historical_volatility,volatility_spread,cheapness_score,volatility_edge,combined_score,mispricing_score,classification,status,current_price_usd,current_value_usd,entry_value_usd,unrealized_pnl_usd,unrealized_pnl_pct,quote_source,last_updated_at,price_update_status
2026-05-08 07:00:42.592102+00:00,ETH-22MAY26-2400-C,call,2289.12,2400.0,13.733161063449066,40.365984999999995,2.4773333290392894,100.0,65.46693296046544,-0.3834141424591183,0.4909,,,0.6381526963679461,-0.147252696367946,0.3834141424591183,0.147252696367946,0.5306668388270644,-0.5306668388270644,cheap,open,41.20416,102.07643886306754,100.0,2.076438863067537,0.0207643886306752,bid_ask_mid,2026-05-08 14:24:22.599481+00:00,ok
2026-05-08 07:00:42.592178+00:00,ETH-29MAY26-2450-C,call,2290.29,2450.0,20.733090941122686,47.20168500000001,2.0973827523318285,99.0,74.84119788934606,-0.3693087987476032,0.5072,,,0.6381526963679461,-0.1309526963679461,0.3693087987476032,0.1309526963679461,0.5002614951155493,-0.5002614951155493,cheap,open,49.241235,103.27771699251836,99.00000000000001,4.27771699251835,0.043209262550690575,bid_ask_mid,2026-05-08 14:24:22.599481+00:00,ok
2026-05-08 07:00:42.592225+00:00,ETH-22MAY26-2350-C,call,2289.12,2350.0,13.733166532754625,55.71643,1.759086143889693,98.01,82.73596059692534,-0.3265754141486265,0.4904,,,0.6381526963679461,-0.1477526963679461,0.3265754141486265,0.1477526963679461,0.4743281105165726,-0.4743281105165726,cheap,open,57.227999999999994,100.66898184251934,98.01,2.6589818425193386,0.02712969944413146,bid_ask_mid,2026-05-08 14:24:22.599481+00:00,ok
2026-05-08 07:04:48.981562+00:00,ETH-29MAY26-2400-C,call,2290.29,2400.0,20.733098902627308,60.22230999999999,1.6111952530548896,97.0299,89.71614732961473,-0.3287461422218139,0.5071,,,0.6381599157350738,-0.1310599157350738,0.3287461422218139,0.1310599157350738,0.4598060579568877,-0.4598060579568877,cheap,open,64.12812,103.32292253133433,97.0299,6.29302253133433,0.06485652908365691,bid_ask_mid,2026-05-08 14:24:22.599481+00:00,ok
2026-05-08 07:04:48.981669+00:00,ETH-22MAY26-2300-C,call,2289.17,2300.0,13.733175182546294,74.9661,1.2813738609851653,96.059601,102.01211694957716,-0.2651255336946447,0.4931,,,0.6381599157350738,-0.1450599157350737,0.2651255336946447,0.1450599157350737,0.4101854494297184,-0.4101854494297184,cheap,open,78.97636500000002,101.19824974662369,96.059601,5.138648746623687,0.05349437945951596,bid_ask_mid,2026-05-08 14:24:22.599481+00:00,ok
2026-05-08 07:04:48.981734+00:00,ETH-29MAY26-2350-C,call,2290.24,2350.0,20.733104316203697,77.834495,1.221810522314046,95.09900499,107.85160793918271,-0.2783186408876657,0.5071,,,0.6381599157350738,-0.1310599157350738,0.2783186408876657,0.1310599157350738,0.4093785566227395,-0.4093785566227395,cheap,open,81.87608,100.03705606982662,95.09900499000001,4.938051079826607,0.05192537062134206,bid_ask_mid,2026-05-08 14:24:22.599481+00:00,ok
2026-05-08 07:04:48.981792+00:00,ETH-29MAY26-2300-C,call,2290.28,2300.0,20.733109718101854,98.2886525,0.9578726795557604,94.1480149401,128.65627123987463,-0.2360368324623318,0.5091,,,0.6381599157350738,-0.1290599157350738,0.2360368324623318,0.1290599157350738,0.3650967481974057,-0.3650967481974057,cheap,open,103.0626,98.72084882398352,94.14801494009998,4.572833883883533,0.04857068825925759,bid_ask_mid,2026-05-08 14:24:22.599481+00:00,ok
2026-05-08 07:04:48.981846+00:00,ETH-22MAY26-2250-C,call,2289.17,2250.0,13.733180525949061,99.38687499999996,0.9378153281376344,93.206534790699,125.74677878820626,-0.2096268710994493,0.4988,,,0.6381599157350738,-0.1393599157350737,0.2096268710994493,0.1393599157350737,0.3489867868345231,-0.3489867868345231,cheap,open,104.157235,97.6802515194337,93.20653479069901,4.473716728734686,0.047997887044944676,bid_ask_mid,2026-05-08 14:24:22.599481+00:00,ok
2026-05-08 07:04:48.981898+00:00,ETH-29MAY26-2250-C,call,2290.28,2250.0,20.733115084699076,123.2869225,0.7484530197660827,92.274469442792,152.23967933518065,-0.1901787823096789,0.5136999999999999,,,0.6381599157350738,-0.1244599157350738,0.1901787823096789,0.1244599157350738,0.3146386980447528,-0.3146386980447528,cheap,open,129.40082,96.85043448920732,92.27446944279201,4.575965046415305,0.04959080311214681,bid_ask_mid,2026-05-08 14:24:22.599481+00:00,ok
2026-05-08 07:04:48.981948+00:00,ETH-22MAY26-2200-C,call,2289.17,2200.0,13.7331859856713,130.05368,0.7024155314049098,91.35172474836408,152.9949200323383,-0.1499477239341624,0.504,,,0.6381599157350738,-0.1341599157350738,0.1499477239341624,0.1341599157350738,0.2841076396692362,-0.2841076396692362,cheap,open,132.1995675,92.85902945701174,91.35172474836409,1.507304708647652,0.01650001368665599,bid_ask_mid,2026-05-08 14:24:22.599481+00:00,ok
