min_score,max_spread,min_dte,max_abs_moneyness,candidate_count,quality_score,rank
0.5,0.04,10.0,0.18,6,0.45380795118011324,1
0.5,0.04,3.0,0.18,8,0.45233925485740495,2
0.5,0.04,7.0,0.18,8,0.45233925485740495,3
0.5,0.04,10.0,0.08,4,0.4521583220632636,4
0.5,0.04,10.0,0.12,4,0.4521583220632636,5
0.5,0.04,3.0,0.08,6,0.4507499366719358,6
0.5,0.04,3.0,0.12,6,0.4507499366719358,7
0.5,0.04,7.0,0.08,6,0.4507499366719358,8
0.5,0.04,7.0,0.12,6,0.4507499366719358,9
0.55,0.06,7.0,0.12,2,0.4494598105648736,10
